Player name,Player_Role,Team,BattingStyle,BowlingStyle,Images
Abinash Bohara,Bowler,Nepal  ,Right hand Bat,Right arm Medium,
Sagar Dhakal,Bowler,Nepal  ,Right hand Bat,Slow Left arm Orthodox,
Sandeep Lamichhane,Bowler,Nepal  ,Right hand Bat,Legbreak Googly,
Lalit Rajbanshi,Bowler,Nepal  ,Right hand Bat,Slow Left arm Orthodox,
Scott Edwards,Wicketkeeper Batter,Netherlands  ,Right hand Bat,,
Wesley Barresi,Batter,Netherlands  ,Right hand Bat,Right arm Offbreak,
Michael Levitt,Top order Batter,Netherlands  ,Right hand Bat,Right arm Fast,
Max O'Dowd,Opening Batter,Netherlands  ,Right hand Bat,Right arm Offbreak,
Vikramjit Singh,Opening Batter,Netherlands  ,Left hand Bat,Right arm Medium,
Bas de Leede,Batting Allrounder,Netherlands  ,Right hand Bat,Right arm Fast medium,
Sybrand Engelbrecht,Allrounder,Netherlands  ,Right hand Bat,Right arm Offbreak,
Teja Nidamanuru,Allrounder,Netherlands  ,Right hand Bat,Right arm Offbreak,
Tim Pringle,Allrounder,Netherlands  ,Right hand Bat,Slow Left arm Orthodox,
Saqib Zulfiqar,Bowling Allrounder,Netherlands  ,Right hand Bat,Legbreak,
Aryan Dutt,Bowler,Netherlands  ,Right hand Bat,Right arm Offbreak,
Vivian Kingma,Bowler,Netherlands  ,Right hand Bat,Right arm Medium fast,
Kyle Klein,Bowler,Netherlands  ,Right hand Bat,Right arm Medium,
Logan van Beek,Bowler,Netherlands  ,Right hand Bat,Right arm Medium fast,
Paul van Meekeren,Bowler,Netherlands  ,Right hand Bat,Right arm Fast medium,
Daniel Doram,Bowler,Netherlands  ,Left hand Bat,Slow Left arm Orthodox,
Fred Klaassen,Bowler,Netherlands  ,Right hand Bat,Left arm Fast medium,
Kane Williamson,Top order Batter,New Zealand  ,Right hand Bat,Right arm Offbreak,
Finn Allen,Top order Batter,New Zealand  ,Right hand Bat,,
Devon Conway,Wicketkeeper Batter,New Zealand  ,Left hand Bat,Right arm Medium,
Michael Bracewell,Batting Allrounder,New Zealand  ,Left hand Bat,Right arm Offbreak,
Mark Chapman,Allrounder,New Zealand  ,Left hand Bat,Slow Left arm Orthodox,
Daryl Mitchell,Batting Allrounder,New Zealand  ,Right hand Bat,Right arm Medium,
James Neesham,Batting Allrounder,New Zealand  ,Left hand Bat,Right arm Medium fast,
Glenn Phillips,Allrounder,New Zealand  ,Right hand Bat,Right arm Offbreak,
Rachin Ravindra,Batting Allrounder,New Zealand  ,Left hand Bat,Slow Left arm Orthodox,
Mitchell Santner,Bowling Allrounder,New Zealand  ,Left hand Bat,Slow Left arm Orthodox,
Trent Boult,Bowler,New Zealand  ,Right hand Bat,Left arm Fast medium,
Lockie Ferguson,Bowler,New Zealand  ,Right hand Bat,Right arm Fast,
Matt Henry,Bowler,New Zealand  ,Right hand Bat,Right arm Fast medium,
Ish Sodhi,Bowler,New Zealand  ,Right hand Bat,Legbreak,
Tim Southee,Bowler,New Zealand  ,Right hand Bat,Right arm Medium fast,
Aqib Ilyas,Top order Batter,Oman  ,Right hand Bat,"Right arm Offbreak, Legbreak Googly",
Pratik Athavale,Wicketkeeper Batter,Oman  ,Right hand Bat,Right arm Offbreak,
Khalid Kail,Middle order Batter,Oman  ,Right hand Bat,,
Mehran Khan,Batter,Oman  ,Right hand Bat,Right arm Medium fast,
Naseem Khushi,Wicketkeeper,Oman  ,Right hand Bat,,
Kashyap Prajapati,Top order Batter,Oman  ,Right hand Bat,Right arm Offbreak,
Shoaib Khan,Batter,Oman  ,Right hand Bat,Right arm Medium,
Zeeshan Maqsood,Opening Batter,Oman  ,Left hand Bat,Slow Left arm Orthodox,
Ayaan Khan,Allrounder,Oman  ,Left hand Bat,Slow Left arm Orthodox,
Mohammad Nadeem,Allrounder,Oman  ,Right hand Bat,Right arm Medium fast,
Bilal Khan,Bowler,Oman  ,Left hand Bat,Left arm Medium fast,
Fayyaz Butt,Bowler,Oman  ,Right hand Bat,Right arm Medium fast,
Kaleemullah,Bowler,Oman  ,Right hand Bat,Right arm Medium,
Rafiullah,Bowler,Oman  ,Right hand Bat,Right arm Medium,
Shakeel Ahmed,Bowler,Oman  ,Left hand Bat,Slow Left arm Orthodox,
Babar Azam,Batter,Pakistan  ,Right hand Bat,Right arm Offbreak,
Azam Khan,Wicketkeeper Batter,Pakistan  ,Right hand Bat,,
Fakhar Zaman,Opening Batter,Pakistan  ,Left hand Bat,Slow Left arm Orthodox,
Iftikhar Ahmed,Middle order Batter,Pakistan  ,Right hand Bat,Right arm Offbreak,
Mohammad Rizwan,Wicketkeeper Batter,Pakistan  ,Right hand Bat,Right arm Medium,
Saim Ayub,Top order Batter,Pakistan  ,Left hand Bat,Right arm Offbreak,
Usman Khan,Top order Batter,Pakistan  ,Right hand Bat,Right arm Offbreak,
Imad Wasim,Allrounder,Pakistan  ,Left hand Bat,Slow Left arm Orthodox,
Shadab Khan,Allrounder,Pakistan  ,Right hand Bat,Legbreak,
Abbas Afridi,Bowler,Pakistan  ,Right hand Bat,Right arm Medium fast,
Abrar Ahmed,Bowler,Pakistan  ,Right hand Bat,Legbreak Googly,
Haris Rauf,Bowler,Pakistan  ,Right hand Bat,Right arm Fast,
Mohammad Amir,Bowler,Pakistan  ,Left hand Bat,Left arm Fast medium,
Naseem Shah,Bowler,Pakistan  ,Right hand Bat,Right arm Fast,
Shaheen Shah Afridi,Bowler,Pakistan  ,Left hand Bat,Left arm Fast,
Assad Vala,Batter,Papua New Guinea  ,Left hand Bat,Right arm Offbreak,
Sese Bau,Middle order Batter,Papua New Guinea  ,Left hand Bat,Right arm Offbreak,
Kiplin Doriga,Wicketkeeper Batter,Papua New Guinea  ,Right hand Bat,,
Hiri Hiri,Middle order Batter,Papua New Guinea  ,Right hand Bat,Right arm Offbreak,
Lega Siaka,Opening Batter,Papua New Guinea  ,Right hand Bat,"Right arm Fast medium, Legbreak",
Tony Ura,Opening Batter,Papua New Guinea  ,Right hand Bat,,
Hila Vare,Batter,Papua New Guinea  ,Left hand Bat,,
Charles Amini,Allrounder,Papua New Guinea  ,Left hand Bat,Legbreak,
Jack Gardner,Bowler,Papua New Guinea  ,Left hand Bat,,
Semo Kamea,Bowler,Papua New Guinea  ,Left hand Bat,Left arm Fast,
John Kariko,Bowler,Papua New Guinea  ,Right hand Bat,Slow Left arm Orthodox,
Kabua Morea,Bowler,Papua New Guinea  ,Right hand Bat,Left arm Medium,
Alei Nao,Bowler,Papua New Guinea  ,Right hand Bat,Right arm Medium,
Chad Soper,Bowler,Papua New Guinea  ,Right hand Bat,Right arm Medium fast,
Norman Vanua,Bowler,Papua New Guinea  ,,Right arm Medium,
Richie Berrington,Top order Batter,Scotland  ,Right hand Bat,Right arm Medium fast,
Matthew Cross,Wicketkeeper Batter,Scotland  ,Right hand Bat,,
Ollie Hairs,Opening Batter,Scotland  ,Left hand Bat,Right arm Offbreak,
Michael Jones,Top order Batter,Scotland  ,Right hand Bat,Right arm Offbreak,
George Munsey,Opening Batter,Scotland  ,Left hand Bat,Right arm Medium fast,
Charlie Tear,Wicketkeeper Batter,Scotland  ,Right hand Bat,,
Michael Leask,Allrounder,Scotland  ,Right hand Bat,Right arm Offbreak,
Brandon McMullen,Batting Allrounder,Scotland  ,Right hand Bat,Right arm Medium,https://static.cricbuzz.com/a/img/v1/152x152/i1/c244683/brandon-mcmullen.jpg
Brad Currie,Bowler,Scotland  ,Right hand Bat,Left arm Medium,
Chris Greaves,Bowler,Scotland  ,Right hand Bat,Legbreak,
Jack Jarvis,Bowler,Scotland  ,Right hand Bat,Right arm Medium fast,
Safyaan Sharif,Bowler,Scotland  ,Right hand Bat,Right arm Medium fast,
Chris Sole,Bowler,Scotland  ,Right hand Bat,Right arm Fast medium,
Mark Watt,Bowler,Scotland  ,Left hand Bat,Slow Left arm Orthodox,
Brad Wheal,Bowler,Scotland  ,Right hand Bat,Right arm Fast medium,
Aiden Markram,Opening Batter,South Africa  ,Right hand Bat,Right arm Offbreak,
Quinton de Kock,Wicketkeeper Batter,South Africa  ,Left hand Bat,,
Reeza Hendricks,Opening Batter,South Africa  ,Right hand Bat,Right arm Offbreak,
Heinrich Klaasen,Wicketkeeper Batter,South Africa  ,Right hand Bat,Right arm Offbreak,
David Miller,Middle order Batter,South Africa  ,Left hand Bat,Right arm Offbreak,
Ryan Rickelton,Wicketkeeper Batter,South Africa  ,Left hand Bat,,
Tristan Stubbs,Batter,South Africa  ,Right hand Bat,Right arm Offbreak,
Marco Jansen,Bowling Allrounder,South Africa  ,Right hand Bat,Left arm Medium fast,
Ottneil Baartman,Bowler,South Africa  ,Right hand Bat,Right arm Medium fast,
Gerald Coetzee,Bowler,South Africa  ,Right hand Bat,Right arm Fast,
Bjorn Fortuin,Bowler,South Africa  ,Right hand Bat,Slow Left arm Orthodox,
Keshav Maharaj,Bowler,South Africa  ,Right hand Bat,Slow Left arm Orthodox,
Anrich Nortje,Bowler,South Africa  ,Right hand Bat,Right arm Fast,https://static.cricbuzz.com/a/img/v1/152x152/i1/c244754/anrich-nortje.jpg
Kagiso Rabada,Bowler,South Africa  ,Left hand Bat,Right arm Fast,https://static.cricbuzz.com/a/img/v1/152x152/i1/c577418/kagiso-rabada.jpg
Tabraiz Shamsi,Bowler,South Africa  ,Right hand Bat,Left arm Wrist spin,
Kusal Mendis,Wicketkeeper Batter,Sri Lanka  ,Right hand Bat,Legbreak,
Pathum Nissanka,Top order Batter,Sri Lanka  ,Right hand Bat,,
Sadeera Samarawickrama,Wicketkeeper Batter,Sri Lanka  ,Right hand Bat,,
Wanindu Hasaranga,Allrounder,Sri Lanka  ,Right hand Bat,Legbreak,
Charith Asalanka,Batting Allrounder,Sri Lanka  ,Left hand Bat,Right arm Offbreak,
Dhananjaya de Silva,Allrounder,Sri Lanka  ,Right hand Bat,Right arm Offbreak,
Angelo Mathews,Allrounder,Sri Lanka  ,Right hand Bat,Right arm Medium,
Kamindu Mendis,Allrounder,Sri Lanka  ,Left hand Bat,"Right arm Offbreak, Slow Left arm Orthodox",
Dasun Shanaka,Allrounder,Sri Lanka  ,Right hand Bat,Right arm Medium,
Dushmantha Chameera,Bowler,Sri Lanka  ,Right hand Bat,Right arm Fast,
Dilshan Madushanka,Bowler,Sri Lanka  ,Right hand Bat,Left arm Fast medium,
Matheesha Pathirana,Bowler,Sri Lanka  ,Right hand Bat,Right arm Fast,
Maheesh Theekshana,Bowler,Sri Lanka  ,Right hand Bat,Right arm Offbreak,
Nuwan Thushara,Bowler,Sri Lanka  ,Right hand Bat,Right arm Medium fast,
Dunith Wellalage,Bowler,Sri Lanka  ,Left hand Bat,Slow Left arm Orthodox,
Fred Achelam,Wicketkeeper Batter,Uganda  ,Right hand Bat,,
Roger Mukasa,Batter,Uganda  ,Right hand Bat,Right arm Offbreak,
Robinson Obuya,Batter,Uganda  ,Right hand Bat,Slow Left arm Orthodox,
Ronak Patel,Batter,Uganda  ,Right hand Bat,,
Simon Ssesazi,Wicketkeeper Batter,Uganda  ,Left hand Bat,Right arm Slow,
Riazat Ali Shah,Batting Allrounder,Uganda  ,Right hand Bat,Right arm Medium,
Dinesh Nakrani,Allrounder,Uganda  ,Left hand Bat,Left arm Medium,
Frank Nsubuga,Allrounder,Uganda  ,Right hand Bat,Right arm Offbreak,
Alpesh Ramjani,Allrounder,Uganda  ,Left hand Bat,Slow Left arm Orthodox,
Kenneth Waiswa,Allrounder,Uganda  ,Right hand Bat,Right arm Medium,
Brian Masaba,Bowler,Uganda  ,Right hand Bat,"Right arm Fast medium, Right arm Offbreak, Legbreak Googly",
Bilal Hassan,Bowler,Uganda  ,Right hand Bat,Right arm Medium fast,
Cosmas Kyewuta,Bowler,Uganda  ,Right hand Bat,Right arm Medium,
Juma Miyagi,Bowler,Uganda  ,Right hand Bat,Right arm Medium fast,
Henry Ssenyondo,Bowler,Uganda  ,Right hand Bat,Slow Left arm Orthodox,
Monank Patel,Wicketkeeper Batter,United States of America  ,Right hand Bat,,
Aaron Jones,Top order Batter,United States of America  ,Right hand Bat,Legbreak Googly,
Andries Gous,Wicketkeeper Batter,United States of America  ,Right hand Bat,,
Nitish Kumar,Top order Batter,United States of America  ,Right hand Bat,Right arm Offbreak,
Shayan Jahangir,Batter,United States of America  ,Right hand Bat,Right arm Medium fast,
Steven Taylor,Opening Batter,United States of America  ,Left hand Bat,Right arm Offbreak,
Corey Anderson,Batting Allrounder,United States of America  ,Left hand Bat,Left arm Medium fast,
Harmeet Singh,Bowling Allrounder,United States of America  ,Left hand Bat,Slow Left arm Orthodox,
Milind Kumar,Allrounder,United States of America  ,Right hand Bat,Right arm Offbreak,
Nisarg Patel,Allrounder,United States of America  ,Right hand Bat,Slow Left arm Orthodox,
Shadley van Schalkwyk,Allrounder,United States of America  ,Left hand Bat,Right arm Medium,
Ali Khan,Bowler,United States of America  ,Right hand Bat,Right arm Fast medium,
Jasdeep Singh,Bowler,United States of America  ,Right hand Bat,Right arm Medium,
Nosthush Kenjige,Bowler,United States of America  ,Right hand Bat,Slow Left arm Orthodox,
Saurabh Netravalkar,Bowler,United States of America  ,Right hand Bat,Left arm Fast medium,
Rovman Powell,Middle order Batter,West Indies  ,Right hand Bat,Right arm Medium fast,
Johnson Charles,Wicketkeeper Batter,West Indies  ,Right hand Bat,,
Shimron Hetmyer,Middle order Batter,West Indies  ,Left hand Bat,,
Shai Hope,Wicketkeeper Batter,West Indies  ,Right hand Bat,,
Nicholas Pooran,Wicketkeeper Batter,West Indies  ,Left hand Bat,Right arm Offbreak,https://static.cricbuzz.com/a/img/v1/152x152/i1/c244722/nicholas-pooran.jpg
Sherfane Rutherford,Middle order Batter,West Indies  ,Left hand Bat,Right arm Fast medium,
Brandon King,Top order Batter,West Indies  ,Right hand Bat,,
Roston Chase,Allrounder,West Indies  ,Right hand Bat,Right arm Offbreak,
Kyle Mayers,Batting Allrounder,West Indies  ,Left hand Bat,Right arm Medium,
Andre Russell,Allrounder,West Indies  ,Right hand Bat,Right arm Fast,https://static.cricbuzz.com/a/img/v1/152x152/i1/c170821/andre-russell.jpg
Romario Shepherd,Bowling Allrounder,West Indies  ,Right hand Bat,Right arm Fast medium,
Jason Holder,Bowling Allrounder,West Indies  ,Right hand Bat,Right arm Medium fast,
Alzarri Joseph,Bowler,West Indies  ,Right hand Bat,Right arm Fast,
Akeal Hosein,Bowler,West Indies  ,Left hand Bat,Slow Left arm Orthodox,
Shamar Joseph,Bowler,West Indies  ,Left hand Bat,Right arm Fast,
Obed McCoy,Bowler,West Indies  ,Left hand Bat,Left arm Fast medium,
Gudakesh Motie,Bowler,West Indies  ,Left hand Bat,Slow Left arm Orthodox,
